127.0.0.1 - - [18/Aug/2021:10:02:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:02:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:02:08 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:02:08 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:02:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:03:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3574
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:03:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:03:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:05:43 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:05:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:07:43 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:07:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:07:45 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:07:48 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:09:01 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 237
